#,partid,Description,qtystock,Identifier,qtyonorder,qtyreserved,supplier,manufacturer,manufactuerpart,notes,cost,costqty,datasheet,Package ID,Footprint,Format,ROHS,Storage,Supplier P/N,Qty at CM,Value on Hand,Value on Order
108,K045,LED HOLDER For Contact Blocks,0,,0,0,Eoff,Idec,HW-LH3,"Lead Holder, For Use W/ HW-CBL on all Ill PB's, One Req'd per Deck/Set of Contacts",0.3408,1,http://datasheet.octopart.com/HW-LH3-Idec-datasheet-8450967.pdf,,,,,,,0,,
109,K060,Round 22mm Green Dome LED 120VAC,5,,0,0,Eoff,Idec,HW1P-2FQD-G-120V-BULK50,HW PL Dome Green LED FV 120VAC,14.02,1,,,,,,,,0,70.1,
110,K061,Round 22mm Red Dome LED 120VAC,3,,0,0,Eoff,Idec,HW1P-2FQD-R-120V,HW PL Dome Red LED FV 120VAC,14.02,1,,,,,,,,0,42.06,
111,K066,Round 16mm Red Dome LED 120VAC,0,,0,0,Eoff,Idec,HA1P-18-R,HW PL Dome Red LED FV 120VAC,20,1,,,,,,,,0,,
112,K071,14mm prominent bright chrome bezel IP67 sealed RED 12V,1,,0,0,Allied,APEM,Q14P1CXXR110E,,7.365,1,http://datasheet.octopart.com/Q14P1CXXR110E-Apem-datasheet-9561826.pdf,,,,,,,0,7.365,
113,K080,Round 22mm Green Dome LED 24VDC,0,,0,7,Eoff,Idec,HW1P-2FQD-G-24V,"Pilot Light, Grn, 24V Direct, LED, Full Voltage, 22mm Mounting, LED, Round Dome Lens, Blk Nylon Bezel",13.83,1,http://datasheet.octopart.com/HW1P-2FQD-G-24V-Idec-datasheet-2344.pdf,,,,,,,0,,
114,K081,Round 22mm Red Dome LED 24VDC,2,,0,3,Eoff,Idec,HW1P-2FQD-R-24V,"Pilot Light, Red, 24V Direct, LED, Full Voltage, 22mm Mounting, LED, Round Dome Lens, Blk Nylon Bezel",13.83,1,http://datasheet.octopart.com/HW1P-2FQD-R-24V-Idec-datasheet-54592.pdf,,,,,,,0,27.66,
115,K090,Pilot Light Green 24VDC 16mm,0,,0,0,Eoff,Idec,AP6M122-G,"Pilot Light, Grn, 24VDC Direct, LED Full Voltage, 16mm Mounting, LED Flat Lens, 0.110"" Terminals",8.55,1,http://datasheet.octopart.com/AP6M122-G-Idec-datasheet-8482972.pdf,,,,,,,0,,
116,K091,Pilot Light Red 24VDC 16mm,0,,0,0,Eoff,Idec,AP6M122-R,"Pilot Light, Red, 24VDC Direct, LED Full Voltage, 16mm Mounting, LED Flat Lens, 0.110"" Terminals",6.905,1,http://datasheet.octopart.com/AP6M122-R-Idec-datasheet-9563968.pdf,,,,,,,0,,
117,K095,Switch 16mm Push Button Round Momentary LED 24V Green,0,,0,0,Eoff,Idec,AL6M-M24P-G,"Pushbutton, Mom, Grn, Ext, 24V Direc Full Voltage, 16mm Mounting, LED DPDT Output, Round Lens, IP65 Rated",14.5,1,http://datasheet.octopart.com/AL6M-M24P-G-Idec-datasheet-8450967.pdf,,,,,,,0,,
118,K096,Switch 16mm Push Button Round Momentary LED 24V Red,0,,0,0,Eoff,Idec,AL6M-M24P-R,"Pushbutton, Mom, Red, Ext, 24V Direc Full Voltage, 16mm Mounting, LED DPDT Output, Round Lens, IP65 Rated",14.5,1,http://datasheet.octopart.com/AL6M-M24P-G-Idec-datasheet-8450967.pdf,,,,,,,0,,
119,K100,Mallory Panel Mount Buzzer,0,,0,0,Mouser,Mallory Sonalert,SC628DPR,Audio 6VDC 28VDC 23mA 60dBA 1600Hz to 2200Hz Screw Panel Mount,29.97,1,http://datasheet.octopart.com/SC628DPR-Mallory-Sonalert-datasheet-8554689.pdf,,,,,,,0,,
120,K110,Mallory Volume Shutter,1,,0,0,Mouser,Mallory Sonalert,SCVC,Volume Control; 10 to 15 dB,0.8453,1,http://datasheet.octopart.com/SCVC-Mallory-Sonalert-datasheet-8515073.pdf,,97,,,,,0,0.8453,
121,K120,POTENTIOMETER 22m 5K OHM,0,,0,0,Automation Direct,Automation Direct,ECX2300-5K,POTENTIOMETER 22m 5K OHM,36.5,1,,,,,,,,0,,
122,K121,POTENTIOMETER 22m 10K OHM,0,,0,2,Automation Direct,Automation Direct,ECX2300-10K,POTENTIOMETER 22m 10K OHM,36.5,1,,,,,,,,0,,
123,K130,Switch Toggle ON None ON DPDT Bat Lever Quick Conn 15A 250VAC 559.27VA Panel Mount with Threads,0,,0,0,,Carling Technologies,2GL51-73,,4.44,1,http://datasheet.octopart.com/2GL51-73-Carling-datasheet-33575.pdf,,,,,,,0,,
124,K131,Switch Toggle ON OFF ON DPDT Bat Lever Quick Conn 15A 250VAC 559.27VA Panel Mount with Threads,0,,0,0,,Carling Technologies,2GM51-73,,4.36,1,http://datasheet.octopart.com/2GM51-73-Carling-datasheet-33575.pdf,,,,,,,0,,
125,K135,Switch Toggle ON OFF ON 3PDT Round Lever Quick Conn 25A 250VAC 30VDC Panel Mount with Threads,0,,0,0,,NKK Switches,S33F,,11.29,1,http://datasheet.octopart.com/S33F-NKK-Switches-datasheet-11554349.pdf,,,,,,,0,,
126,K140,"Pushbutton momentary, Black, blue LED, small",0,,0,0,,,,,5,1,,,,,,,,0,,
127,K141,"Pushbutton momentary, Silver finish, blue LED, medium",0,,0,0,,,,,8,1,,,,,,,,0,,
128,L001,Shop Labor,9936,,0,64,,,,42.5,0,1,,,,,,,,0,,
129,L002,Assembly Time,995,,0,0,,,,60,0,1,,,,,,,,0,,
130,L003,Controls / Programming Time,995,,0,0,,,,80,0,1,,,,,,,,0,,
131,L004,Consulting Time,1000,,0,0,,,,100,0,1,,,,,,,,0,,
132,L005,Engineering Time,1000,,0,10,,,,100,0,1,,,,,,,,0,,
133,LIPO-1600,1600mAh LiPo battery,1,,0,0,eBay,China,,,12,1,,,,,,,,0,12,
134,LIPO-3000-FLAT,3000mAh LiPo Battery,1,,0,0,Amazon,Ofeeley,,,16.99,1,,,,,,,,0,16.99,
135,LIPO-600,600mAh LiPo battery,3,,0,0,eBay,China,,,5,1,,,,,,,,0,15,
136,LIPO-800,800mAh LiPo battery,5,,0,2,eBay,China,,,3,1,,,,,,,,0,15,
137,MH-254-1x40,"Male Headers, 0.1"" 40 strip",1,,0,2,,China,,,0.1,1,,,,,,,,0,0.1,
138,MH-254-2x4,"Male Headers, 0.1"" 2x4",0,,0,0,,China,,50/7.50,0.15,1,,,,,,,,0,,
139,P001,CuPID RF HAT Board,0,,0,0,II,,,,20,1,,,,,,,,0,,
140,P002,CuPID RF HAT Board w/ RS485,0,,0,0,II,,,Typical brewpanel board,20,1,,,,,,,,0,,
141,P005,CuPID Output Board,49,,0,0,II,,,,10,1,,,,,,,,0,490,
142,P006,CuPID Small Mote Board,4,,0,0,II,,,,10,1,,,,,,,,0,40,
143,P007,CuPID SPI Lights Board,9,,0,0,II,,,,10,1,,,,,,,,0,90,
144,P009,CuPID Small Mote Brewpanel,,,,,II,,,,10,1,,,,,,,,,,
145,P010,"OneWire Hub : 6 Sensor + 2 Bus, designed to fit WC22F",0,,0,0,,,,"Takes 8 x Q061, optional LED

$54.50 for six OSH Park boards 07/19/15",9.25,1,,,,,,,,0,,
146,P011,SMD Mosfet LED board. Header mount fit,0,,0,0,,,,,15,1,,,,,,,,0,,
147,Q001,Interface; I2C-1 wire; 1.8÷5.5VDC; SOT23-6,0,,0,0,Digikey,Maxim Integrated,DS2483R+U,,0.949,1,http://datasheet.octopart.com/DS2483R%2BU-Maxim-Integrated-datasheet-13718177.pdf,,,,,,,0,,
148,Q010,RS-485 Breakout - BOB-10124,9,,0,2,,SparkFun,BOB-10124," Description: This is a breakout board for the SP3485 RS-485 transceiver IC, which will co...",9.95,1,,,,,,,,0,89.55,
149,Q015,MIghtyBoost Power Supply Board,3,,0,2,LowPowerLab,,,,19.95,1,,,,,,,,0,59.85,
150,Q020,Moteino RFM69HW Module 433MHZ,0,,0,0,,LowPowerLab,R4,,19.95,1,,,,,,,,0,,
151,Q021,Moteino RFM69HW Module 916MHZ,0,,0,2,,LowPowerLab,R4,,19.95,1,,,,,,,,0,,
152,Q030,Adafruit Perma-Proto Small Mint Tin Size Breadboard ,0,,0,0,,Adafruit Industries,1214,,2.75,1,,,,,,,,0,,
153,Q031,Adafruit Perma-Proto Half-sized Breadboard PCB - Single,0,,0,0,,Adafruit Industries,1609,,4.5,1,,,,,,,,0,,
154,Q050,GPIO Stacking Header for Raspberry Pi B+ - Extra-long 2x20 Pins,0,,0,2,,Adafruit Industries,2223,,2.5,1,,,,,,,,0,,
155,Q055,"Ethernet Jack, PCB Mount, Shielded, right angle",4,,0,8,ebay,China,,,0.4,1,,,,,,,,0,1.6,
156,Q059,"JUMPER 0.1"" 2-position",2,,0,0,,,,,0.03,1,,,,,,,,0,0.06,
157,Q060-DIP-8,"32Kb I2C Serial EEPROM, DIP8 package",0,,0,0,,,24C32,,0.5,1,,,,,,,,0,,
158,Q060-SOIC-8,"32Kb I2C Serial EEPROM, SOIC8 package",0,,0,0,,,24C32,,0.5,1,,,,,,,,0,,
159,Q065-DIP-16,"Optoisolator, 4-channel PS2501-4, DIP 16 package",0,,0,0,,,,$8.22/10,0.82,1,,,,,,,,0,,
160,Q066-DIP-8,"ATTiny 85 microcontroller, DIP 8 package",0,,0,0,,,,,0.15,1,,,,,,,,0,,
161,Q068-DIP-28,"ATMEGA328P Microcontroller, DIP 28 package",0,,0,0,,,,$17.50/10,1.75,1,,,,,,,,0,,
162,Q080-SOIC-8,IC: multiplexer; Channels: 8; SO16; 2.8÷5.25VDC,10,,0,0,,Maxim Integrated,DS2408,,4.713,1,http://datasheet.octopart.com/DS2408S%2B-Dallas-Semiconductor-datasheet-13718055.pdf,,,,,,,0,47.13,
163,RES-103-A-1/4,"Axial resistor, 1/4W 1K 10%",0,,0,0,,,,,0.1,1,,,,,,,,0,,
164,RES-106-A-1/4,"Axial resistor, 1/4W 1M 10%",0,,0,0,,,,,0.1,1,,,,,,,,0,,
165,RES-193-A-1/4,"Axial resistor, 1/4W 1.9K 10%",0,,0,0,,,,,0.1,1,,,,,,,,0,,
166,RES-393-A-1/4,"Axial resistor, 1/4W 3.9K 10%",0,,0,0,,,,,0.1,1,,,,,,,,0,,
167,RES-502-A-1/4-5,"Axial resistor, 1/4W 500R 5%",17,,0,0,,,,,0.1,1,,,,,,,,0,1.7,
168,RES-522-A-1/4,"Axial resistor, 1/4W 522R 10%",0,,0,0,,,,,0.1,1,,,,,,,,0,,
169,RES-5232-A-1/4 - 1,"Axial resistor, 1/4W 523R 1%",17,,0,0,,,,,0.1,1,,,,,,,,0,1.7,
170,RES-722-A-1/4,"Axial resistor, 1/4W 722R 10%",0,,0,0,,,,,0.1,1,,,,,,,,0,,
171,RES-7322-A-1/4 - 1,"Axial resistor, 1/4W 732R 1%",17,,0,0,,,,,0.1,1,,,,,,,,0,1.7,
172,S001,Platinum RTD. PT100 (6 ft. cable),6,,0,0,Auberin,Auberin,PT100S,,15.65,1,,,,,,,,0,93.9,
173,S002,"RTD IN 8"" thermowell, 2' cable",0,,0,0,Auber,Auber,,Custom quote dated 4/28,34.3,1,,,,,,,,0,,
174,S003,"RTD IN 8"" thermowell, 20' cable",0,,0,3,Auber,Auber,,Custom quote dated 4/28,45.3,1,,,,,,,,0,,
175,S005,"Waterproof DS18B20 1Wire temperature sensor, potted, with 1M cable",41,,0,0,eBay,,,,8,1,,,,,,,,0,328,
176,S006,"Waterproof DS18B20 1Wire temperature sensor, potted, with 2M cable",0,,0,0,eBay,,,,10,1,,,,,,,,0,,
177,S010,"SS Optical Level Sensor, 1/2"" NPT fitting",0,,0,0,Dwyer,Dwyer,OLS-10,"LED indication, NPN",91.5,1,http://www.dwyer-inst.com/Product/Level/LevelSwitches/Optical/SeriesOLS#literature,,,,,,,0,,
178,S011,"CTF Tuning fork level sensor, 1/2"" NPT fitting",0,,1,1,Dwyer,Proximity,CTF-01,,230,1,http://www.dwyer-inst.com/Product/Level/LevelSwitches/TuningFork/ModelCTF,,,,,,,0,,230
179,ST-025-4-GRN,"2.54mm pitch screw terminals, 4-position",0,,0,0,,,,,,1,,,,,,,,0,,
180,ST-035-2-GRN,"3.5mm pitch screw terminals, 2-position",0,,0,0,,,,,,1,,,,,,,,0,,
181,ST-035-3,"3.5mm pitch screw terminals, 3-position",0,,0,0,,,,,,1,,,,,,,,0,,
182,ST-035-4,"3.5mm pitch screw terminals, 4-position",0,,0,0,,,,,,1,,,,,,,,0,,
183,ST-050-2-BLU,"5mm pitch screw terminals, 2-position",0,,0,0,dipmicro,,,"12-24awg, 10A, 500MR @ 500V",0.15,1,,,,,,,,0,,
184,ST-050-2-GRN,"5mm pitch screw terminals, 2-position",0,,0,0,dipmicro,,,"12-24awg, 10A, 500MR @ 500V",0.15,1,,,,,,,,0,,
185,ST-050-3-GRN,"5mm pitch screw terminals, 3-position",0,,0,0,dipmicro,,,"12-24awg, 10A, 500MR @ 500V",0.2,1,,,,,,,,0,,
186,T001,DIODE 1A,95,,0,0,Mouser,Fairchild Semiconductor,1N4007,1.0A General Purpose Rectifier DO-41,0.0206,1,http://datasheet.octopart.com/1N4007-Fairchild-Semiconductor-datasheet-8328374.pdf,,,,,,,0,1.957,
187,T020,Diode,0,,0,0,UNKNOWN,,,,1,1,,,,,,,,0,,
188,U001,Double Level Terminal Block,38,,0,120,Eoff,Phoenix Contact,3038464,Conn Feed-Through Modular Terminal Blocks F 4 POS T DIN Rail 22A,2.4,1,http://datasheet.octopart.com/3038464-Phoenix-Contact-datasheet-33588073.pdf,,,,,,,0,91.2,
189,U002,Double Level Ground Terminal Block,1,,0,6,Eoff,Phoenix Contact,3038480,"2-level terminal blocks with spring-cage connection, cross section: 0.08 - 2.5 mm Square , width: 5.2 mm, colo",6.77,1,http://datasheet.octopart.com/3038480-Phoenix-Contact-datasheet-33588083.pdf,,,,,,,0,6.77,
190,U003,Double Level Terminal Block Endcover,31,,0,7,Eoff,Phoenix Contact,3038503,End Cover; Term Blk; DIN Rail; 78 mm L; 2.2 mm W; 54.5 mm H; Gray,0.62,1,http://datasheet.octopart.com/3038503-Phoenix-Contact-datasheet-9914954.pdf,,,,,,,0,19.22,
191,U004,Double Level Terminal Block - Blue,30,,0,0,Eoff,Phoenix Contact,3038493,"Double-level terminal blocks with a spring-cage connection, cross section: 0.08 mm2 - 2.5 mm2, width: 5.2 mm,",3.2388,1,http://datasheet.octopart.com/3038493-Phoenix-Contact-datasheet-33588090.pdf,,,,,,,0,97.164,
192,U010,Single Level Terminal Block,154,,0,14,Eoff,Phoenix Contact,3036398,Standard Feed-Thru Terminal Block 20A 600V - STS25,1.1,1,http://datasheet.octopart.com/3036398-Phoenix-Contact-datasheet-34230691.pdf,,,,,,,0,169.4,
193,U011,Single Level Ground Terminal Block,11,,0,0,Eoff,Phoenix Contact,3036411,Conn Spring Cage F 2 POS ST T DIN Rail,4,1,http://datasheet.octopart.com/3036411-Phoenix-Contact-datasheet-34230692.pdf,,,,,,,0,44,
194,U012,Single Level Terminal Block End Cover,39,,0,1,Eoff,Phoenix Contact,3031762,Terminal Block End Barrier D-STS 2.5 D-STS Series - D-STS25,0.5,1,http://datasheet.octopart.com/3031762-Phoenix-Contact-datasheet-11794778.pdf,,,,,,,0,19.5,
195,U020,Circuit Breaker Terminal Block,11,,0,9,Eoff,Phoenix Contact,3036372,Fuse; 10 AWG/kcmil (Max.) (Conductor Cross Section); Black; 1; 2; PA; Flat; 3;,4.67,1,http://datasheet.octopart.com/3036372-Phoenix-Contact-datasheet-32749566.pdf,,,,,,,0,51.37,
196,U040,JUMPER 2POS,45,,0,0,Eoff,Phoenix Contact,3030161,"Cross connector/jumper for modular terminal block, Number of positions: 2, Color: red",0.42,1,http://datasheet.octopart.com/3030161-Phoenix-Contact-datasheet-11845.pdf,,,,,,,0,18.9,
197,U041,JUMPER 3POS,46,,0,4,Eoff,Phoenix Contact,3030174,"Cross connector/jumper for modular terminal block, Number of positions: 3, Color: red",0.9732,1,http://datasheet.octopart.com/3030174-Phoenix-Contact-datasheet-72967.pdf,,,,,,,0,44.7672,
198,U042,JUMPER 4POS,47,,0,4,Eoff,Phoenix Contact,3030187,"Cross connector/jumper for modular terminal block, Number of positions: 4, Color: red",1.525,1,http://datasheet.octopart.com/3030187-Phoenix-Contact-datasheet-17379.pdf,,,,,,,0,71.675,
199,U043,JUMPER 5POS,45,,0,4,Eoff,Phoenix Contact,3030190,"Cross connector/jumper for modular terminal block, Number of positions: 5, Color: red",1.8719,1,http://datasheet.octopart.com/3030190-Phoenix-Contact-datasheet-5312280.pdf,,,,,,,0,84.2355,
200,U044,JUMPER 10POS,13,,0,2,Eoff,Phoenix Contact,3030213,"Cross connector/jumper for modular terminal block, Number of positions: 10, Color: red",3.6517,1,http://datasheet.octopart.com/3030213-Phoenix-Contact-datasheet-77678.pdf,,,,,,,0,47.4721,
201,U047,"TB Breaker Jumper, cut to length, Blue, 500mm",1,,0,0,,Phoenix Contact,2966692,Blue 500mm Length Insulated Can Be Cut To Length For Power Distribution With Plc Term Blocks,20.5257,1,http://datasheet.octopart.com/2966692-Phoenix-Contact-datasheet-79763.pdf,,,,,,,0,20.5257,
202,U048,TB Circuit Breaker Jumper 5POS,9,,0,3,Eoff,Phoenix Contact,3030310,Bridge; Plug-In Bridge; 5; Red; Cross connections in the terminal center.,2.3571,1,http://datasheet.octopart.com/3030310-Phoenix-Contact-datasheet-90650.pdf,,,,,,,0,21.2139,
203,U049,Phoenix Vertical Terminal Block Jumper,7,,0,0,Eoff,Phoenix Contact,3047358,Terminal Block Center Jumper FBS Series - FBS-PVUT,1.05,1,http://datasheet.octopart.com/3047358-Phoenix-Contact-datasheet-33030413.pdf,,,,,,,0,7.35,
204,U060,TB MARKERS 1-10,4,,0,8,Eoff,Phoenix Contact,1050017:0001,ZB Marking Strip (1 strip of 10 labels) marked 1 to 10 printed horizontally 5mm,1.65,1,http://datasheet.octopart.com/1050017%3A0001-Phoenix-Contact-datasheet-37183515.pdf,,,,,,,0,6.6,
205,U061,TB MARKERS 11-20,14,,0,5,Eoff,Phoenix Contact,1050017:0011,Connector Accessories Zack Marker Strip Labeled Horizontally Polyamide White,1.65,1,http://datasheet.octopart.com/1050017%3A0011-Phoenix-Contact-datasheet-37183516.pdf,,,,,,,0,23.1,
206,U062,TB MARKERS 21-30,26,,0,1,Eoff,Phoenix Contact,1050017:0021,Connector Accessories Zack Marker Strip Labeled Horizontally Polyamide White,1.65,1,http://datasheet.octopart.com/1050017%3A0021-Phoenix-Contact-datasheet-11747040.pdf,,,,,,,0,42.9,
207,U063,TB MARKERS 31-40,29,,0,0,Eoff,Phoenix Contact,1050017:0031,Connector Accessories Zack Marker Strip Labeled Horizontally Polyamide White,1.65,1,http://datasheet.octopart.com/1050017%3A0031-Phoenix-Contact-datasheet-41179079.pdf,,,,,,,0,47.85,
208,U070,DIN Rail End Stop,17,,0,17,Eoff,Phoenix Contact,0800886,Phoenix 0800886 E/NS 35 N Terminal Block End Clamp 9.5mm Width Gray,1.08,1,http://datasheet.octopart.com/0800886-Phoenix-Contact-datasheet-32749539.pdf,,,,,,,0,18.36,
209,U101,"Terminal block, five terminal, screw terminals, plastic cover",22,,0,0,,,,,7,1,,,,,,,,0,154,
210,V010,15A Straight Plug NEMA 4,0,,0,1,Platt,Leviton,5266-C,"15 Amp Plug, 125V, 5-15P, Nylon, Black/White, Industrial Grade",15,1,,,,,,,,0,,
211,V018,"CONNECTOR, M12 FA FEMALE STRAIGHT, 4 POLE, 3-6.5MM CABLE OD, 600005174",3,,0,0,Allied Electronics,,RKC 4/7,,10.48,1,,,,,,,70050957 ,0,31.44,
212,V019,"CONNECTOR, M12 FA MALE STRAIGHT, 4 POLE, BLACK, 3-6.5MM CABLE OD, 600005191",3,,0,0,Allied Electronics,,RSC 4/7,,8.96,1,,,,,,,,0,26.88,
213,V020,"CONNECTOR, M12 FA FEMALE STRAIGHT, 4 POLE, 4-8MM CABLE OD, 600005175",0,,0,0,Allied Electronics,Hirschmann,RKC 4/9,,9.95,1,http://datasheet.octopart.com/RKC-4/9-Hirschmann-datasheet-9561777.pdf,,,,,,70050958 ,0,,
214,V021,"CONNECTOR, M12 FA MALE STRAIGHT, 4 POLE, 4-8MM CABLE OD, 600005192",4,,0,0,Allied Electronics,Hirschmann,RSC 4/9,,9.95,1,http://datasheet.octopart.com/RSC-4/9-Hirschmann-datasheet-9561777.pdf,,,,,,70050963,0,39.8,
215,V030,"JST 2.0mm connector, female plug",0,,0,0,eBay,China,,,0.35,1,,,,,,,,0,,
216,V040,USB to RJ45 adapter pair,2,,0,0,Amazon,,,,8,1,,,,,,,,0,16,
217,V045,USB A right angle to USB B straight. Angle is to right when looking down on USB open hole top,1,,0,0,Amazon,,,,6,1,,,,,,,,0,6,
218,W001,"18/3 SOOW/SJOOW Power Cord, Black, 0.305""",176,,0,0,,,,,1,1,,,,,,,,0,176,
219,W002,"16/3 SOOW/SJOOW Power Cord, Black, 0.39"" diameter",192,,0,14,,,,,1,1,,,,,,,,0,192,
220,W010,"22/3 w/shield Riser cable, stranded, grey",200,,0,0,,,,per foot.,0.125,1,,,,,,,,0,25,
221,Y001,"Wire Duct, 1x2, per foot",4,,0,10,Anixter,,,,2.97,1,,,,,,,,0,11.88,
222,Y002,"Wire Duct, 1.5x2, per foot",6,,0,0,Anixter,,,,2.97,1,,,,,,,,0,17.82,
223,Y003,"Wire Duct, 2x2, per foot",0,,0,0,Anixter,,,,2.97,1,,,,,,,,0,,
224,Y011,"Wire Duct Cover, 1x2, per foot",12,,0,0,Anixter,,,,2.97,1,,,,,,,,0,35.64,
225,Y012,"Wire Duct Cover, 1.5x2, per foot",6,,0,0,Anixter,,,,2.97,1,,,,,,,,0,17.82,
226,Y013,"Wire Duct Cover, 2x2, per foot",0,,0,0,Anixter,,,,2.97,1,,,,,,,,0,,
227,Y030,Cable Entry Straight Thread 0.114-0.25 PG7 (A) 0.492 DIA Hole,67,,0,27,Mouser,Heyco,3207,Liquid Tight Straight-Thru Cordgrips .114 - .25 CABLE PG7 (A) HUB BLACK,0.8,1,http://datasheet.octopart.com/3207-Heyco-datasheet-157225.pdf,,,,,,,0,53.6,
228,Y031,Cable Entry Straight Thread 0.181-0.312 PG9 (B) 0.599 DIA HOLE,41,,0,17,Mouser,Heyco,3210,Liquid Tight Straight-Thru Cordgrips .181 - .312 CABLE PG HUB BLACK,0.89,1,http://datasheet.octopart.com/3210-Heyco-datasheet-157225.pdf,,,,,,,0,36.49,
229,Y032,Cable Entry Straight Thread 0.23-0.394 PG11 (C) 0.733 DIA Hole,57,,0,6,Mouser,Heyco,3213,Liquid Tight Straight-Thru Cordgrips .23 - .395 CABLE PG HUB BLACK,0.95,1,http://datasheet.octopart.com/3213-Heyco-datasheet-157225.pdf,,,,,,,0,54.15,
230,Y033,Cable Entry Straight Thread 0.230-0.530 PG16 (D) 0.886 DIA Hole,16,,0,0,Mouser,Heyco,3219,Liquid Tight Straight-Thru Cordgrips .23 - .53 CABLE PG HUB BLACK,1.35,1,http://datasheet.octopart.com/3219-Heyco-datasheet-157225.pdf,,,,,,,0,21.6,
231,Y040,"Cable Entry 1/2"" NPT 0.095-0.26",92,,0,4,Mouser,Heyco,M4518,,0.98,1,,,,,,,,0,90.16,
232,Y041,"Cable Entry 1/2"" NPT 0.17-0.47",65,,0,0,Mouser,Heyco,M3231,Liquid Tight Straight-Thru Cordgrips LTCG 1/2 NPT BLACK NO NUT,0.862,1,,,,,,,,0,56.03,
233,Y041G,"Cable Entry 1/2"" NPT 0.17-0.47",10,,0,0,Mouser,Heyco,M3231,Liquid Tight Straight-Thru Cordgrips LTCG 1/2 NPT GREY NO NUT,0.862,1,,,,,,,,0,8.62,
234,Y043,"Cable Entry 1/2"" NPT 0.23-0.546",0,,0,0,Mouser,Heyco,M3231,Liquid Tight Straight-Thru Cordgrips LTCG 1/2 NPT BLK NO NUT,1.05,1,,,,,,,,0,,
235,Z001,"DIN RAIL, FT",0,,0,9,Eoff,IDEC,BNDN-1000,,2.75,1,,,,,,,,0,,
236,Z099,Reverse Engraved Panel Label,996,,0,77,Hyak,,,,1,1,,,,,,,,0,996,
